time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T23:55:20.854Z,-8.2412,107.9549,82.842,4.5,mb,64,84,2.564,0.85,us,us7000j1q7,2023-03-11T22:51:33.040Z,"Java, Indonesia",earthquake,9.52,6.363,0.079,47,reviewed,us,us
2023-01-02T23:53:25.780Z,62.7915,-149.3123,56.2,1.2,ml,,,,0.53,ak,ak0233p32vv,2023-01-19T20:11:39.049Z,"55 km NE of Chase, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T23:50:18.030Z,58.165,-155.373333333333,1.11,0.04,ml,5,137,,0.07,av,av91741961,2023-01-04T04:09:30.380Z,"85 km NW of Karluk, Alaska",earthquake,0.26,1.62,0.143523289177868,5,reviewed,av,av
2023-01-02T23:42:31.740Z,54.7595,-163.704,0.66,0.81,ml,4,131,,0.05,av,av91082658,2023-01-04T04:36:42.580Z,"21 km WSW of False Pass, Alaska",earthquake,0.48,0.45,0.446542922502844,4,reviewed,av,av
2023-01-02T23:36:52.707Z,63.5477,-147.5204,2.4,1.4,ml,,,,0.99,ak,ak0233ozhqe,2023-01-19T20:11:38.844Z,"72 km ESE of Denali Park, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-01-02T23:33:27.330Z,36.1061666666667,-89.7518333333333,9.5,1.53,md,15,93,0.04265,0.05,nm,nm60504091,2023-01-10T16:21:56.350Z,"7 km ENE of Steele, Missouri",earthquake,0.24,0.47,0.0744485118942539,9,reviewed,nm,nm
2023-01-02T23:18:00.890Z,52.0823333333333,-176.016666666667,3.88,0.95,ml,5,217,,0.17,av,av91741951,2023-01-04T04:31:59.130Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,0.74,1.02,0.277344474811922,5,reviewed,av,av
2023-01-02T23:16:25.515Z,63.0091,-149.775,80.5,1.5,ml,,,,0.57,ak,ak0233ov5de,2023-01-19T20:11:38.618Z,"59 km SW of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-01-02T23:12:39.986Z,61.8395,-146.1506,16.7,1.6,ml,,,,0.82,ak,ak0233oubim,2023-01-19T20:11:38.395Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-01-02T23:11:21.620Z,19.2835006713867,-155.417831420898,32.9099998474121,1.96,ml,39,109,,0.140000001,hv,hv73292462,2023-01-02T23:16:52.640Z,"10 km NE of P?hala, Hawaii",earthquake,0.55,0.670000017,3.53,6,automatic,hv,hv
2023-01-02T23:10:41.960Z,33.6351667,-116.698,14.95,1.17,ml,39,51,0.06895,0.22,ci,ci40153143,2023-01-03T14:25:14.977Z,"9km NNW of Anza, CA",earthquake,0.29,0.43,0.181,26,reviewed,ci,ci
2023-01-02T23:10:37.580Z,33.6388333,-116.69,13.27,0.68,ml,13,110,0.03289,0.06,ci,ci40153135,2023-01-13T21:28:58.353Z,"9km N of Anza, CA",earthquake,0.28,0.51,0.197,4,reviewed,ci,ci
2023-01-02T23:10:06.860Z,33.6425,-116.6915,14.35,0.91,ml,24,56,0.07105,0.12,ci,ci40153127,2023-01-03T14:25:23.459Z,"10km N of Anza, CA",earthquake,0.21,0.33,0.164,24,reviewed,ci,ci
2023-01-02T23:09:08.250Z,19.242166519165,-155.406173706055,33.189998626709,2.27999997,md,31,132,,0.129999995,hv,hv73292457,2023-01-02T23:13:15.700Z,"8 km ENE of P?hala, Hawaii",earthquake,0.72,0.959999979,2.27999997,4,automatic,hv,hv
2023-01-02T23:05:33.642Z,54.5496,-161.7838,18.3,2,ml,,,,0.52,ak,ak0233ossqj,2023-01-19T20:11:38.210Z,"66 km SSE of King Cove, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-02T23:01:13.831Z,31.1665,141.7623,10,5.2,mww,89,55,2.551,0.7,us,us7000j1pz,2023-03-11T22:51:33.040Z,"Izu Islands, Japan region",earthquake,9.19,1.815,0.078,16,reviewed,us,us
2023-01-02T22:57:03.425Z,31.60746086,-103.9588425,7.93112793,1.8,ml,16,71,0.009124937983,0.1,tx,tx2023adox,2023-01-04T11:39:43.087Z,"35 km WSW of Mentone, Texas",earthquake,0.5239531853,0.7245814395,0.1,19,reviewed,tx,tx
2023-01-02T22:56:41.890Z,66.3572,-157.3364,12.2,1.9,ml,,,,0.67,ak,ak0233oibqy,2023-01-23T20:14:06.933Z,"59 km S of Shungnak, Alaska",earthquake,,0.8,,,reviewed,ak,ak
